yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
187101,4.44,0.26,0.4,,,,,,,,,,0.058559,,0.09009,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187102,4.5,0.26,0.4,,,,,,,,,0.004967,0.057778,0.058559,0.088889,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187103,4.61,0.26,0.4,,,,,,,,,0.004525,0.056399,0.057778,0.086768,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187104,4.74,0.26,0.4,,,,,,,,,0.004252,0.054852,0.056399,0.084388,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187105,4.86,0.26,0.4,,,,,,,,,0.004643,0.053498,0.054852,0.082305,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187106,4.82,0.26,0.4,,,,,,,,,0.003698,0.053942,0.053498,0.082988,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187107,4.73,0.26,0.4,,,,,,,,,0.003373,0.054968,0.053942,0.084567,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187108,4.79,0.26,0.4,,,,,,,,,0.003255,0.05428,0.054968,0.083507,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187109,4.84,0.26,0.4,,,,,,,,,0.003713,0.053719,0.05428,0.082645,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187110,4.59,0.26,0.4,,,,,,,,,0.004554,0.056645,0.053719,0.087146,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187111,4.64,0.26,0.4,,,,,,,,,0.007041,0.056034,0.056645,0.086207,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187112,4.74,0.26,0.4,,,,,,,,,0.006488,0.054852,0.056034,0.084388,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187201,4.86,0.2633,0.4025,,,,,,,,,0.006975,0.054177,0.055549,0.082819,0.654161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187202,4.88,0.2667,0.405,,,,,,,,,0.005764,0.054652,0.054877,0.082992,0.658519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187203,5.04,0.27,0.4075,,,,,,,,,0.005218,0.053571,0.055328,0.080853,0.662577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187204,5.18,0.2733,0.41,,,,,,,,,0.006001,0.052761,0.054226,0.079151,0.666585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187205,5.18,0.2767,0.4125,,,,,,,,,0.00603,0.053417,0.053417,0.079633,0.670788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187206,5.13,0.28,0.415,,,,,,,,,0.004953,0.054581,0.054054,0.080897,0.674699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187207,5.1,0.2833,0.4175,,,,,,,,,0.004067,0.055549,0.055224,0.081863,0.678563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187208,5.04,0.2867,0.42,,,,,,,,,0.004399,0.056885,0.056216,0.083333,0.682619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187209,4.95,0.29,0.4225,,,,,,,,,0.005218,0.058586,0.05754,0.085354,0.686391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187210,4.97,0.2933,0.425,,,,,,,,,0.007019,0.059014,0.059253,0.085513,0.690118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187211,4.95,0.2967,0.4275,,,,,,,,,0.007609,0.059939,0.059698,0.086364,0.694035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187212,5.07,0.3,0.43,,,,,,,,,0.008214,0.059172,0.060606,0.084813,0.697674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187301,5.11,0.3025,0.4325,,,,,,,,,0.007631,0.059198,0.059665,0.084638,0.699422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187302,5.15,0.305,0.435,,,,,,,,,0.006488,0.059223,0.059687,0.084466,0.701149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187303,5.11,0.3075,0.4375,,,,,,,,,0.006561,0.060176,0.059709,0.085616,0.702857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187304,5.04,0.31,0.44,,,,,,,,,0.007107,0.061508,0.060665,0.087302,0.704545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187305,5.05,0.3125,0.4425,,,,,,,,,0.008052,0.061881,0.062004,0.087624,0.706215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187306,4.98,0.315,0.445,,,,,,,,,0.005632,0.063253,0.062376,0.089357,0.707865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187307,4.97,0.3175,0.4475,,,,,,,,,0.00468,0.063883,0.063755,0.09004,0.709497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
